index,node_i,node_j,voltage,circuits,dc,x,r,capacity
LTGES1243a,ES01094,ES00625,400,2,f,0.72816,0.08879999999999999,3574.952866822163
LTGES1243b,ES01094,ES00625,400,2,f,0.72816,0.08879999999999999,3574.952866822163
LTGES1244a,ES01094,ES00625,400,2,f,0.72816,0.08879999999999999,3574.952866822163
LTGES1244b,ES01094,ES00625,400,2,f,0.72816,0.08879999999999999,3574.952866822163
LTGES1245a,ES00506,ES00178,220,2,f,29.284290000000002,5.837400000000001,983.1120383760947
LTGES1245b,ES00506,ES00178,220,2,f,29.284290000000002,5.837400000000001,983.1120383760947
LTGES1246,ES01071,ES00934,220,1,f,13.373429999999999,2.6658,491.55601918804734
LTGES1247a,ES00880,ES00879,400,2,f,0.52644,0.06420000000000001,3574.952866822163
LTGES1247b,ES00880,ES00879,400,2,f,0.52644,0.06420000000000001,3574.952866822163
LTGES1248a,ES00880,ES00879,400,2,f,0.52644,0.06420000000000001,3574.952866822163
LTGES1248b,ES00880,ES00879,400,2,f,0.52644,0.06420000000000001,3574.952866822163
LTGES1249a,ES00450,ES01168,400,2,f,0.861,0.105,3574.952866822163
LTGES1249b,ES00450,ES01168,400,2,f,0.861,0.105,3574.952866822163
LTGES1250a,ES00450,ES01168,400,2,f,0.861,0.105,3574.952866822163
LTGES1250b,ES00450,ES01168,400,2,f,0.861,0.105,3574.952866822163
LTGES1251a,ES01168,ES00878,400,2,f,2.96922,0.3621,3574.952866822163
LTGES1251b,ES01168,ES00878,400,2,f,2.96922,0.3621,3574.952866822163
LTGES1252,ES00210,ES00212,220,1,f,1.7157,0.34199999999999997,491.55601918804734
LTGES1253,ES01157,ES00806,220,1,f,2.73007,0.5442,491.55601918804734
LTGES1254,ES01227,ES00629,220,1,f,3.78056,0.7536,491.55601918804734
LTGES1255a,ES00655,ES00656,220,2,f,0.70434,0.1404,983.1120383760947
LTGES1255b,ES00655,ES00656,220,2,f,0.70434,0.1404,983.1120383760947
LTGES1256,ES00966,ES00162,220,1,f,1.27624,0.2544,491.55601918804734
LTGES1257a,ES00088,ES00927,220,2,f,1.60132,0.3192,983.1120383760947
LTGES1257b,ES00088,ES00927,220,2,f,1.60132,0.3192,983.1120383760947
LTGES1258a,ES00231,ES00310,220,2,f,2.11603,0.4218,983.1120383760947
LTGES1258b,ES00231,ES00310,220,2,f,2.11603,0.4218,983.1120383760947
LTGES1259,ES00698,ES00046,400,1,f,19.07238,2.3259,1787.4764334110814
LTGES1260a,ES00546,ES00549,220,2,f,3.9280500000000003,0.783,983.1120383760947
LTGES1260b,ES00546,ES00549,220,2,f,3.9280500000000003,0.783,983.1120383760947
LTGES1261a,ES01170,ES00169,220,2,f,4.34945,0.8669999999999999,983.1120383760947
LTGES1261b,ES01170,ES00169,220,2,f,4.34945,0.8669999999999999,983.1120383760947
LTGES1262,ES01170,ES00168,220,1,f,11.86843,2.3657999999999997,491.55601918804734
LTGES1263,ES00657,ES00332,220,1,f,24.49237,4.8822,491.55601918804734
LTGES1264a,ES00035,ES00330,400,2,f,32.11776,3.9168,3574.952866822163
LTGES1264b,ES00035,ES00330,400,2,f,32.11776,3.9168,3574.952866822163
LTGES1265a,ES00447,ES00875,220,2,f,0.030100000000000002,0.006,983.1120383760947
LTGES1265b,ES00447,ES00875,220,2,f,0.030100000000000002,0.006,983.1120383760947
LTGES1266a,ES00332,ES00650,220,2,f,7.618309999999999,1.5186,983.1120383760947
LTGES1266b,ES00332,ES00650,220,2,f,7.618309999999999,1.5186,983.1120383760947
LTGES1267a,ES00419,ES01082,220,2,f,0.8127,0.162,983.1120383760947
LTGES1267b,ES00419,ES01082,220,2,f,0.8127,0.162,983.1120383760947
LTGES1268a,ES00418,ES01081,132,2,f,1.026,0.25623,338.37344576665583
LTGES1268b,ES00418,ES01081,132,2,f,1.026,0.25623,338.37344576665583
LTGES1269a,ES00577,ES00419,220,2,f,0.8127,0.162,983.1120383760947
LTGES1269b,ES00577,ES00419,220,2,f,0.8127,0.162,983.1120383760947
LTGES1270a,ES00691,ES00658,400,2,f,0.9298799999999999,0.11339999999999999,3574.952866822163
LTGES1270b,ES00691,ES00658,400,2,f,0.9298799999999999,0.11339999999999999,3574.952866822163
LTGES1271,ES00645,ES01173,220,1,f,0.80367,0.16019999999999998,491.55601918804734
LTGES1272a,ES00651,ES00330,400,2,f,17.933400000000002,2.1870000000000003,3574.952866822163
LTGES1272b,ES00651,ES00330,400,2,f,17.933400000000002,2.1870000000000003,3574.952866822163
LTGES1273,ES00659,ES00358,220,1,f,4.46082,0.8892,491.55601918804734
LTGES1274,ES00660,ES01079,400,1,f,0.5535,0.0675,1787.4764334110814
LTGES1275,ES01174,ES00661,220,1,f,1.90834,0.38039999999999996,491.55601918804734
LTGES1276,ES00358,ES01174,220,1,f,2.07088,0.4128,491.55601918804734
LTGES1277,ES01175,ES00537,220,1,f,3.20264,0.6384,491.55601918804734
LTGES1278a,ES00225,ES01176,220,2,f,1.0534999999999999,0.21,983.1120383760947
LTGES1278b,ES00225,ES01176,220,2,f,1.0534999999999999,0.21,983.1120383760947
LTGES1279,ES01239,ES00063,220,1,f,3.63307,0.7242,491.55601918804734
LTGES1280,ES00662,ES01218,400,1,f,1.16112,0.14159999999999998,1787.4764334110814
LTGES1281a,ES00662,ES00068,400,2,f,1.12422,0.1371,3574.952866822163
LTGES1281b,ES00662,ES00068,400,2,f,1.12422,0.1371,3574.952866822163
LTGES1282,ES01209,ES00017,400,1,f,5.773619999999999,0.7041,1787.4764334110814
LTGES1283,ES01182,ES01181,220,1,f,5.65579,1.1274,491.55601918804734
LTGES1284,ES01183,ES00429,220,1,f,1.06554,0.2124,491.55601918804734
LTGES1285,ES00396,ES00401,220,1,f,7.603260000000001,1.5156,491.55601918804734
LTGES1286,ES00498,ES00179,400,1,f,10.969140000000001,1.3377000000000001,1787.4764334110814
LTGES1287,ES01184,ES00663,220,1,f,3.2447799999999996,0.6467999999999999,491.55601918804734
